index,ID,TableName
0,1,ADDR_BELONGS_DATA
1,2,ADDR_CODES
2,3,ALTNAME_CODES
3,4,ALTNAME_DATA
4,5,APPOINTMENT_TYPE_CODES
5,6,ASSOC_CODE_TYPE_REL
6,7,ASSOC_CODES
7,8,ASSOC_DATA
8,9,ASSOC_TYPES
9,10,ASSUME_OFFICE_CODES
10,11,BIOG_ADDR_CODES
11,12,BIOG_ADDR_DATA
12,13,BIOG_INST_CODES
13,14,BIOG_INST_DATA
14,15,BIOG_MAIN
15,16,BIOG_SOURCE_DATA
16,17,BIOG_TEXT_DATA
17,18,CHORONYM_CODES
18,19,COUNTRY_CODES
19,20,DYNASTIES
20,21,ENTRY_CODE_TYPE_REL
21,22,ENTRY_CODES
22,23,ENTRY_DATA
23,24,ENTRY_TYPES
24,25,ETHNICITY_TRIBE_CODES
25,26,EVENT_CODES
26,27,EVENTS_ADDR
27,28,EVENTS_DATA
28,29,EXTANT_CODES
29,30,GANZHI_CODES
30,31,HOUSEHOLD_STATUS_CODES
31,32,KIN_DATA
32,33,KIN_Mourning
33,34,KIN_MOURNING_STEPS
34,35,KINSHIP_CODES
35,36,LITERARYGENRE_CODES
36,37,MEASURE_CODES
37,38,NIAN_HAO
38,39,OCCASION_CODES
39,40,OFFICE_CATEGORIES
40,41,OFFICE_CODE_TYPE_REL
41,42,OFFICE_CODES
42,43,OFFICE_TYPE_TREE
43,44,PARENTAL_STATUS_CODES
44,45,POSSESSION_ACT_CODES
45,46,POSSESSION_ADDR
46,47,POSSESSION_DATA
47,48,POSTED_TO_ADDR_DATA
48,49,POSTED_TO_OFFICE_DATA
49,50,POSTING_DATA
50,51,SCHOLARLYTOPIC_CODES
51,52,SOCIAL_INSTITUTION_ADDR
52,53,SOCIAL_INSTITUTION_ADDR_TYPES
53,54,SOCIAL_INSTITUTION_CODES
54,55,SOCIAL_INSTITUTION_NAME_CODES
55,56,SOCIAL_INSTITUTION_TYPES
56,57,STATUS_CODE_TYPE_REL
57,58,STATUS_CODES
58,59,STATUS_DATA
59,60,STATUS_TYPES
60,61,TEXT_BIBLCAT_CODE_TYPE_REL
61,62,TEXT_BIBLCAT_CODES
62,63,TEXT_BIBLCAT_TYPES
63,64,TEXT_CODES
64,65,TEXT_INSTANCE_DATA
65,66,TEXT_ROLE_CODES
66,67,TEXT_TYPE
67,68,YEAR_RANGE_CODES
